,address,advantage,city,company_name,education,industry,industryLables,label,position_detail,position_name,salary,size,stage,work_year
167,"['大冲', '科技园']",国际化视野 良好的工作环境 完善福利,深圳,联想（北京）有限公司,硕士,"移动互联网,数据服务",[],"['五险一金', '绩效奖金', '午餐补助', '带薪年假']",null,机器学习算法研究员,25k-40k,2000人以上,上市公司,3-5年
168,"['学院路', '牡丹园']","五险一金,补充医疗,技术牛人多,奖金丰富",北京,北京国双科技有限公司,硕士,"数据服务,企业服务",[],"['节日礼物', '年底双薪', '带薪年假', '午餐补助']",null,机器学习工程师（北京）,15k-20k,500-2000人,上市公司,应届毕业生
169,,"下午茶,年底红包,氛围好,项目奖金",莆田,福建省圆马信息科技有限公司,本科,移动互联网、电子商务,"['广告营销', '金融', '算法', '数据挖掘']","['年底双薪', '带薪年假', '年轻团队', '六险一金']",null,机器学习工程师／数据挖掘工程师,20k-40k,15-50人,天使轮,3-5年
170,"['定福庄', '管庄']","五险一金,年底双薪,定期体检,发展空间",北京,互动峰科技（北京）有限公司,硕士,医疗健康,[],"['五险一金', '带薪年假', '绩效奖金', '专项奖金']",null,机器学习（NLP）,30k-50k,500-2000人,D轮及以上,不限
171,"['购物公园', '新洲', '皇岗']","交通便利,新技术,环境好,环境优美",深圳,上海海万信息科技股份有限公司,本科,"移动互联网,金融","['大数据', '移动互联网', 'NLP', '算法', '数据挖掘']",[],null,机器学习/深度学习工程师,10k-20k,500-2000人,不需要融资,3-5年
172,"['独墅湖', '独墅湖']",五险一金、绩效奖金、年终多薪、年度旅游。,苏州,苏州瑞小云信息科技有限公司,本科,移动互联网,"['大数据', '机器学习', '深度学习', '算法', '数据挖掘']","['绩效奖金', '专项奖金', '股票期权', '年度旅游']",null,算法工程师机器学习方向,20k-35k,15-50人,不需要融资,3-5年
173,,"机器学习,金融科技",深圳,招商证券股份有限公司,本科,"招聘,其他","['金融', '机器学习', '算法']","['全牌照券商', '双A级', '上市公司', '优质培训体系']",null,机器学习算法岗,20k-30k,2000人以上,上市公司,不限
174,"['后海', '科技园']",重点项目 技术氛围,深圳,顺丰科技有限公司,硕士,"移动互联网,电子商务",[],"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",null,DSQ-人工智能与机器学习资深工程师,30k-50k,2000人以上,不需要融资,3-5年
175,"['西二旗', '上地', '清河']","风口行业,大牛团队,待遇佳,氛围好",北京,梅卡曼德（北京）机器人科技有限公司,硕士,"企业服务,硬件",[],"['股票期权', '午餐补助', '扁平管理', '技能培训']",null,机器学习算法工程师,20k-40k,50-150人,B轮,1-3年
176,,"技术大牛,行业前景好",北京,神策网络科技（北京）有限公司,本科,数据服务,[],"['节日礼物', '年底双薪', '股票期权', '带薪年假']",null,机器学习算法工程师,20k-40k,150-500人,C轮,1-3年
177,,"机器学习,团队年轻,大数据,气氛活泼",广州,广州筷子信息科技有限公司,本科,"数据服务,广告营销",[],"['年底双薪', '股票期权', '带薪年假', '资源好']",null,机器学习算法工程师,15k-30k,50-150人,B轮,1-3年
178,['跳伞塔'],"环境高大上,福利爆好,组织氛围好,行业有前景",成都,四川万益能源科技有限公司,硕士,"企业服务,数据服务","['教育', '算法', '数据挖掘']","['年底双薪', '绩效奖金', '专项奖金', '法定年假']",null,机器学习应用开发工程师,15k-20k,50-150人,不需要融资,1-3年
179,,"随时玩音乐,公司氛围好,弹性时间",北京,北京音悦荚科技有限责任公司,硕士,"移动互联网,教育",[],"['弹性工作', '领导好']",null,机器学习,50k-70k,50-150人,A轮,1-3年
180,,免费三餐，租房补贴，扁平管理，职业大牛,北京,北京字节跳动科技有限公司,硕士,"移动互联网,数据服务",[],"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",null,机器学习实习生-音视频,8k-10k,2000人以上,C轮,不限
181,,五险一金、绩效奖金、年终多薪、年度旅游。,上海,苏州瑞小云信息科技有限公司,本科,移动互联网,"['大数据', '机器学习', '深度学习', '算法', '数据挖掘']","['绩效奖金', '专项奖金', '股票期权', '年度旅游']",null,算法工程师机器学习方向,20k-35k,15-50人,不需要融资,3-5年
182,,"大公司,大平台,空间大,机会多",北京,互动峰科技（北京）有限公司,本科,医疗健康,[],"['五险一金', '带薪年假', '绩效奖金', '专项奖金']",null,机器学习,25k-50k,500-2000人,D轮及以上,不限
183,"['亮马桥', '三元桥', '燕莎']",六险一金，周末双休，弹性考勤，发展空间大,北京,北京超盟数据科技有限公司,硕士,"数据服务,企业服务","['企业服务', '机器学习', '算法', '推荐', '建模']","['股票期权', '扁平管理', '技术驱动', '弹性工作']",null,机器学习算法工程师-推荐算法方向,25k-40k,50-150人,A轮,3-5年
184,"['大冲', '科技园']",薪资高 双休 福利好,深圳,深圳兴东企业管理咨询有限公司,本科,移动互联网,[],[],null,机器学习工程师,25k-40k,少于15人,不需要融资,5-10年
185,"['五道口', '清华大学', '中关村']",核心业务,北京,北京搜狗科技发展有限公司,硕士,"移动互联网,数据服务",[],"['岗位晋升', '扁平管理', '管理规范', '精英团队']",null,搜狗明医-机器学习研究员-北京-02086,30k-50k,2000人以上,上市公司,3-5年
